idema,fint,ta,lat,lon,alt
1109X,2025-05-29T03:00:00+0000,12.3,43.42861,-3.831385,3.0
1111X,2025-05-29T03:00:00+0000,14.6,43.491055,-3.800431,50.96
1124E,2025-05-29T03:00:00+0000,11.8,43.2456,-3.849351,195.7
1135C,2025-05-29T03:00:00+0000,8.8,43.146942,-4.214141,460.0
1152C,2025-05-29T03:00:00+0000,11.4,43.271942,-4.048612,105.0
1154H,2025-05-29T03:00:00+0000,13.1,43.358517,-4.027419,110.0
1159,2025-05-29T03:00:00+0000,14.5,43.393456,-4.392103,38.0
1167B,2025-05-29T03:00:00+0000,12.8,43.143894,-4.812779,1100.0
1167H,2025-05-29T03:00:00+0000,11.6,43.176186,-4.834772,2330.62
1167J,2025-05-29T03:00:00+0000,15.2,43.089184,-4.773842,1721.85
1174I,2025-05-29T03:00:00+0000,11.5,43.18286,-4.601783,250.0
1176A,2025-05-29T03:00:00+0000,17.3,43.255714,-4.668234,940.0
1178E,2025-05-29T03:00:00+0000,16.2,43.17602,-4.902024,678.0
1178I,2025-05-29T03:00:00+0000,14.8,43.202496,-4.820994,1970.0
1178M,2025-05-29T03:00:00+0000,16.0,43.243923,-4.921692,1650.69
1178R,2025-05-29T03:00:00+0000,18.0,43.23739,-4.736775,1235.71
1178Y,2025-05-29T03:00:00+0000,11.9,43.145374,-4.931762,953.0
1179B,2025-05-29T03:00:00+0000,12.6,43.31111,-4.852774,458.0
1183X,2025-05-29T03:00:00+0000,13.6,43.420277,-4.748056,10.0
1186P,2025-05-29T03:00:00+0000,12.6,43.266632,-5.119247,370.0
1191D,2025-05-29T03:00:00+0000,17.5,43.177372,-5.00172,1505.0
1199X,2025-05-29T03:00:00+0000,12.6,43.377834,-5.396674,280.0
1203D,2025-05-29T03:00:00+0000,12.3,43.49235,-5.247153,30.0
1207U,2025-05-29T03:00:00+0000,11.6,43.523056,-5.621111,25.8
1208H,2025-05-29T03:00:00+0000,15.7,43.559723,-5.700833,5.0
1210X,2025-05-29T03:00:00+0000,15.7,43.655926,-5.848572,100.0
1212E,2025-05-29T03:00:00+0000,13.1,43.56694,-6.044173,127.0
1221D,2025-05-29T03:00:00+0000,14.2,42.978607,-5.776392,1480.0
1223P,2025-05-29T03:00:00+0000,12.7,43.132706,-5.822748,370.0
1226X,2025-05-29T03:00:00+0000,11.9,43.095177,-5.476919,750.0
1234P,2025-05-29T03:00:00+0000,14.5,43.274883,-5.819274,170.0
1249X,2025-05-29T03:00:00+0000,13.4,43.353333,-5.873889,334.44
1272B,2025-05-29T03:00:00+0000,13.1,43.290276,-6.386539,280.0
1276F,2025-05-29T03:00:00+0000,10.6,43.1,-6.256944,670.0
1279X,2025-05-29T03:00:00+0000,11.7,43.425,-6.230729,240.0
1283U,2025-05-29T03:00:00+0000,12.9,43.569164,-6.469998,60.0
1297E,2025-05-29T03:00:00+0000,18.4,42.768578,-7.017618,1020.0
1302F,2025-05-29T03:00:00+0000,16.6,42.95527,-6.472407,1310.0
1309C,2025-05-29T03:00:00+0000,16.1,43.027412,-6.884876,780.0
1327A,2025-05-29T03:00:00+0000,13.0,43.465553,-6.673332,410.0
1331A,2025-05-29T03:00:00+0000,14.2,43.524723,-7.031388,40.0
1341B,2025-05-29T03:00:00+0000,13.1,43.415546,-7.06098,340.0
1342X,2025-05-29T03:00:00+0000,15.2,43.540653,-7.082971,43.0
1344X,2025-05-29T03:00:00+0000,11.4,43.43133,-7.361736,125.0
1347T,2025-05-29T03:00:00+0000,16.0,43.651047,-7.357091,80.0
1351,2025-05-29T03:00:00+0000,15.8,43.78621,-7.684866,90.39
1354C,2025-05-29T03:00:00+0000,14.5,43.47639,-8.262222,4.0
1363X,2025-05-29T03:00:00+0000,12.3,43.44597,-7.861476,343.0
1387,2025-05-29T03:00:00+0000,14.9,43.36597,-8.421517,57.07
1387D,2025-05-29T03:00:00+0000,13.9,43.363308,-8.441944,131.71
1387E,2025-05-29T03:00:00+0000,12.5,43.306953,-8.371975,98.0
1390X,2025-05-29T03:00:00+0000,10.2,43.203583,-8.711001,98.0
1393,2025-05-29T03:00:00+0000,14.1,43.160557,-9.210829,50.0
1399,2025-05-29T03:00:00+0000,14.3,43.057446,-9.046929,287.0
1400,2025-05-29T03:00:00+0000,18.9,42.924828,-9.291434,230.0
1406X,2025-05-29T03:00:00+0000,12.8,42.93525,-8.99369,340.0
1410X,2025-05-29T03:00:00+0000,10.2,43.037876,-8.022249,500.0
1428,2025-05-29T03:00:00+0000,13.3,42.888012,-8.410515,370.0
1435C,2025-05-29T03:00:00+0000,17.2,42.80014,-8.876227,128.0
1437P,2025-05-29T03:00:00+0000,23.6,42.720833,-8.923333,686.0
1442U,2025-05-29T03:00:00+0000,14.5,42.643887,-8.892333,10.0
1446X,2025-05-29T03:00:00+0000,15.8,42.809723,-7.768333,680.0
1466A,2025-05-29T03:00:00+0000,16.7,42.700886,-8.257892,435.0
1468X,2025-05-29T03:00:00+0000,13.3,42.69361,-8.501806,269.0
1473A,2025-05-29T03:00:00+0000,14.4,42.738335,-8.627222,100.0
1475X,2025-05-29T03:00:00+0000,15.6,42.87611,-8.555833,240.0
1476R,2025-05-29T03:00:00+0000,14.8,42.749836,-8.714807,210.0
1477V,2025-05-29T03:00:00+0000,,42.584843,-8.774642,32.0
1484C,2025-05-29T03:00:00+0000,17.6,42.43833,-8.615833,113.3
1486E,2025-05-29T03:00:00+0000,18.0,42.39611,-8.706944,3.0
1489A,2025-05-29T03:00:00+0000,15.8,42.40705,-8.451243,395.0
1495,2025-05-29T03:00:00+0000,19.4,42.238617,-8.623765,254.6
1496X,2025-05-29T03:00:00+0000,16.7,42.230556,-8.724167,120.0
1505,2025-05-29T03:00:00+0000,11.9,43.11111,-7.4575,442.18
1518A,2025-05-29T03:00:00+0000,13.7,42.998333,-7.5525,442.0
1521I,2025-05-29T03:00:00+0000,13.0,42.845276,-7.499579,403.0
1521X,2025-05-29T03:00:00+0000,18.9,42.86377,-7.18517,1080.0
1535I,2025-05-29T03:00:00+0000,13.4,42.63472,-7.704444,560.0
1541B,2025-05-29T03:00:00+0000,9.3,42.928886,-6.333886,958.0
1542,2025-05-29T03:00:00+0000,12.9,42.994164,-6.414164,1530.0
1549,2025-05-29T03:00:00+0000,14.7,42.56389,-6.6,532.01
1561I,2025-05-29T03:00:00+0000,12.4,42.76604,-6.673564,770.0
1583X,2025-05-29T03:00:00+0000,16.3,42.41562,-6.99314,315.0
1631E,2025-05-29T03:00:00+0000,11.9,42.339447,-7.282498,840.0
1639X,2025-05-29T03:00:00+0000,11.5,42.260277,-7.383609,990.0
1658,2025-05-29T03:00:00+0000,13.5,42.58853,-7.191741,612.0
1679A,2025-05-29T03:00:00+0000,12.5,42.53177,-7.510804,291.0
1690A,2025-05-29T03:00:00+0000,15.6,42.32528,-7.859722,145.86
1696O,2025-05-29T03:00:00+0000,8.7,42.468056,-8.277961,610.0
1700X,2025-05-29T03:00:00+0000,12.7,42.42139,-8.0925,400.0
1701X,2025-05-29T03:00:00+0000,15.7,42.29988,-8.129121,112.0
1706A,2025-05-29T03:00:00+0000,12.6,42.182903,-7.796051,492.0
1719,2025-05-29T03:00:00+0000,16.4,42.217995,-8.281009,560.0
1723X,2025-05-29T03:00:00+0000,14.8,42.182224,-8.4927,90.0
1730E,2025-05-29T03:00:00+0000,16.9,41.94398,-8.847444,55.0
1735X,2025-05-29T03:00:00+0000,10.0,42.079166,-7.733611,616.0
1738U,2025-05-29T03:00:00+0000,16.3,41.934116,-7.988838,730.0
1740,2025-05-29T03:00:00+0000,13.3,43.37724,-4.12433,150.0
2005Y,2025-05-29T03:00:00+0000,9.6,41.967773,-2.782777,1197.0
2017Y,2025-05-29T03:00:00+0000,9.9,41.99583,-2.494163,1260.0
2030,2025-05-29T03:00:00+0000,11.9,41.775017,-2.483063,1081.01
2044B,2025-05-29T03:00:00+0000,9.6,41.600582,-2.507534,1100.0
2048A,2025-05-29T03:00:00+0000,8.8,41.41944,-2.420281,978.0
2059B,2025-05-29T03:00:00+0000,11.0,41.34972,-2.783338,1042.0
2084Y,2025-05-29T03:00:00+0000,7.7,41.721848,-3.047008,960.0
2092,2025-05-29T03:00:00+0000,8.8,41.589443,-3.086949,932.0
2096B,2025-05-29T03:00:00+0000,12.0,41.373608,-3.251385,1150.0
2106B,2025-05-29T03:00:00+0000,12.7,41.745846,-3.381929,955.0
2117D,2025-05-29T03:00:00+0000,12.5,41.665836,-3.742777,790.0
2135A,2025-05-29T03:00:00+0000,8.6,41.372757,-3.507234,993.0
2140A,2025-05-29T03:00:00+0000,17.4,41.464554,-3.785871,1135.0
2150H,2025-05-29T03:00:00+0000,13.7,41.19193,-3.475165,1798.0
2166Y,2025-05-29T03:00:00+0000,10.5,41.593098,-4.124787,756.0
2172Y,2025-05-29T03:00:00+0000,10.7,41.611877,-4.405497,725.0
2182C,2025-05-29T03:00:00+0000,14.8,41.13386,-3.790216,1107.0
2192C,2025-05-29T03:00:00+0000,8.7,41.383553,-4.26545,795.0
2235U,2025-05-29T03:00:00+0000,12.4,42.87062,-4.520031,1140.0
2243A,2025-05-29T03:00:00+0000,8.7,42.79806,-4.277134,910.0
2276B,2025-05-29T03:00:00+0000,10.2,42.568817,-4.575109,908.0
2285B,2025-05-29T03:00:00+0000,13.8,42.523888,-4.001111,869.0
2290Y,2025-05-29T03:00:00+0000,11.2,42.251225,-4.198909,771.0
2296A,2025-05-29T03:00:00+0000,9.7,41.775555,-1.976675,1039.0
2298,2025-05-29T03:00:00+0000,8.5,41.95967,-3.131688,1080.0
2302N,2025-05-29T03:00:00+0000,10.2,42.146473,-3.109758,1197.0
2311Y,2025-05-29T03:00:00+0000,11.1,42.10522,-3.767707,884.0
2331,2025-05-29T03:00:00+0000,10.6,42.356945,-3.620278,891.0
2362C,2025-05-29T03:00:00+0000,15.2,42.893772,-4.713714,1575.0
2374X,2025-05-29T03:00:00+0000,11.3,42.350933,-4.617359,830.0
2401X,2025-05-29T03:00:00+0000,10.5,42.009502,-4.560496,736.0
2422,2025-05-29T03:00:00+0000,15.0,41.64083,-4.754167,734.29
2430Y,2025-05-29T03:00:00+0000,16.2,40.543312,-5.044091,1178.0
2444,2025-05-29T03:00:00+0000,13.6,40.65917,-4.679722,1129.76
2453E,2025-05-29T03:00:00+0000,12.6,40.828964,-4.742033,920.0
2456B,2025-05-29T03:00:00+0000,12.8,41.071484,-4.729864,820.0
2462,2025-05-29T03:00:00+0000,16.0,40.793056,-4.010556,1892.6
2465,2025-05-29T03:00:00+0000,14.8,40.94528,-4.126389,1008.25
2471Y,2025-05-29T03:00:00+0000,12.8,40.71867,-4.212067,1237.0
2482B,2025-05-29T03:00:00+0000,13.3,41.126385,-4.375727,870.0
2491C,2025-05-29T03:00:00+0000,12.8,40.355087,-5.689876,1960.0
2503B,2025-05-29T03:00:00+0000,15.0,41.279922,-4.691824,786.0
2507Y,2025-05-29T03:00:00+0000,14.7,41.419464,-4.963505,724.0
2512Y,2025-05-29T03:00:00+0000,17.9,40.88213,-5.018689,925.0
2517A,2025-05-29T03:00:00+0000,10.7,41.172752,-4.939637,755.0
2536D,2025-05-29T03:00:00+0000,13.0,41.548332,-5.271389,710.0
2555B,2025-05-29T03:00:00+0000,14.4,41.236706,-5.481307,811.0
2565,2025-05-29T03:00:00+0000,14.3,41.55528,-5.630556,701.5
2568D,2025-05-29T03:00:00+0000,12.0,42.523502,-4.851026,985.0
2593D,2025-05-29T03:00:00+0000,14.8,42.09421,-5.040989,782.0
2604B,2025-05-29T03:00:00+0000,11.7,41.875816,-5.040313,731.0
2611D,2025-05-29T03:00:00+0000,11.5,41.856388,-5.59244,690.0
2614,2025-05-29T03:00:00+0000,15.0,41.515556,-5.735278,656.06
2624C,2025-05-29T03:00:00+0000,9.8,42.958458,-5.007615,1090.0
2626Y,2025-05-29T03:00:00+0000,12.0,42.620094,-5.193246,916.0
2630X,2025-05-29T03:00:00+0000,8.7,43.06224,-5.377067,1510.0
2661,2025-05-29T03:00:00+0000,13.6,42.588333,-5.651111,916.0
2664B,2025-05-29T03:00:00+0000,14.1,42.295948,-5.504765,788.0
2701D,2025-05-29T03:00:00+0000,9.8,42.885574,-5.870858,1120.0
2728B,2025-05-29T03:00:00+0000,12.8,42.648216,-6.070921,995.0
2734D,2025-05-29T03:00:00+0000,13.6,42.476723,-6.074338,919.0
2737E,2025-05-29T03:00:00+0000,9.7,42.3775,-6.196672,1020.0
2742R,2025-05-29T03:00:00+0000,13.2,42.466446,-5.779854,850.0
2755X,2025-05-29T03:00:00+0000,14.7,42.010906,-5.666803,715.0
2766E,2025-05-29T03:00:00+0000,8.4,42.082615,-6.639735,933.0
2775X,2025-05-29T03:00:00+0000,10.6,41.9415,-6.279668,850.0
2777K,2025-05-29T03:00:00+0000,11.4,42.078136,-6.007296,737.0
2789H,2025-05-29T03:00:00+0000,12.4,41.785553,-5.909007,711.0
2804F,2025-05-29T03:00:00+0000,15.8,41.533997,-6.141833,790.0
2828Y,2025-05-29T03:00:00+0000,11.6,40.355385,-5.519077,1012.0
2847X,2025-05-29T03:00:00+0000,10.0,40.6756,-5.643454,865.0
2863C,2025-05-29T03:00:00+0000,10.8,40.732204,-5.36619,897.0
2867,2025-05-29T03:00:00+0000,13.4,40.95957,-5.498292,790.0
2870,2025-05-29T03:00:00+0000,15.7,40.957592,-5.662271,775.0
2873X,2025-05-29T03:00:00+0000,10.7,40.903606,-5.779717,817.0
2882D,2025-05-29T03:00:00+0000,22.7,41.238903,-5.897441,1003.0
2885K,2025-05-29T03:00:00+0000,13.4,41.304443,-6.022286,804.0
2891A,2025-05-29T03:00:00+0000,16.2,41.26278,-6.462222,690.0
2914C,2025-05-29T03:00:00+0000,11.9,40.786037,-6.20289,785.0
2916A,2025-05-29T03:00:00+0000,17.0,41.01144,-6.437733,769.0
2918Y,2025-05-29T03:00:00+0000,17.9,40.569447,-6.223616,1027.0
2926B,2025-05-29T03:00:00+0000,12.5,40.851425,-6.60902,748.0
2930Y,2025-05-29T03:00:00+0000,10.2,40.29663,-6.812855,880.0
2945A,2025-05-29T03:00:00+0000,13.3,40.48512,-6.57708,805.0
2946X,2025-05-29T03:00:00+0000,13.2,40.63502,-6.600021,680.0
2966D,2025-05-29T03:00:00+0000,13.7,41.683464,-6.301295,840.0
2969U,2025-05-29T03:00:00+0000,16.6,42.027264,-7.183055,910.0
2978X,2025-05-29T03:00:00+0000,11.7,41.926666,-7.422059,380.0
3013,2025-05-29T03:00:00+0000,9.7,40.841652,-1.878928,1061.72
3021Y,2025-05-29T03:00:00+0000,13.7,40.75833,-2.199722,1250.46
3040Y,2025-05-29T03:00:00+0000,11.6,40.57167,-2.076393,1214.0
3085Y,2025-05-29T03:00:00+0000,15.7,40.407776,-2.953058,920.0
3094B,2025-05-29T03:00:00+0000,21.2,40.01139,-3.021667,818.96
3099Y,2025-05-29T03:00:00+0000,16.6,39.935165,-3.496134,733.0
3100B,2025-05-29T03:00:00+0000,14.8,40.06714,-3.546025,540.0
3103,2025-05-29T03:00:00+0000,13.4,41.003613,-3.301944,910.0
3104Y,2025-05-29T03:00:00+0000,7.7,40.889687,-3.888285,1159.0
3110C,2025-05-29T03:00:00+0000,10.9,41.006985,-3.613809,1030.0
3111D,2025-05-29T03:00:00+0000,13.7,41.135685,-3.580467,1450.0
3125Y,2025-05-29T03:00:00+0000,20.3,40.55,-3.616667,672.0
3126Y,2025-05-29T03:00:00+0000,18.4,40.561386,-3.711944,740.0
3129,2025-05-29T03:00:00+0000,18.5,40.46656,-3.555593,609.0
3129A,2025-05-29T03:00:00+0000,19.8,40.46528,-3.579722,631.0
3130C,2025-05-29T03:00:00+0000,10.5,41.086277,-2.617927,1005.0
3140Y,2025-05-29T03:00:00+0000,13.9,40.985077,-2.75988,990.0
3158D,2025-05-29T03:00:00+0000,9.7,41.274166,-3.142474,1368.0
3168D,2025-05-29T03:00:00+0000,18.6,40.630283,-3.150278,727.44
3170Y,2025-05-29T03:00:00+0000,16.1,40.52836,-3.289711,605.0
3182Y,2025-05-29T03:00:00+0000,19.5,40.31167,-3.497784,533.0
3191E,2025-05-29T03:00:00+0000,19.6,40.696068,-3.765135,1004.0
3194U,2025-05-29T03:00:00+0000,18.7,40.45167,-3.724167,664.0
3194Y,2025-05-29T03:00:00+0000,17.8,40.448437,-3.813369,665.0
3195,2025-05-29T03:00:00+0000,21.7,40.411804,-3.678095,667.0
3209Y,2025-05-29T03:00:00+0000,14.8,40.765198,-2.874063,835.0
3229Y,2025-05-29T03:00:00+0000,17.3,40.247227,-3.311671,594.0
3245Y,2025-05-29T03:00:00+0000,15.5,39.696114,-3.505837,635.0
3254Y,2025-05-29T03:00:00+0000,18.3,39.68689,-3.780687,717.0
3260B,2025-05-29T03:00:00+0000,18.3,39.884724,-4.045278,512.69
3266A,2025-05-29T03:00:00+0000,17.4,40.70634,-4.141883,1532.0
3268C,2025-05-29T03:00:00+0000,19.7,40.659725,-4.017505,924.0
3298X,2025-05-29T03:00:00+0000,21.5,39.546833,-4.350468,917.0
3305Y,2025-05-29T03:00:00+0000,18.1,39.630554,-4.476945,750.0
3319D,2025-05-29T03:00:00+0000,6.4,40.339664,-5.012748,1285.0
3330Y,2025-05-29T03:00:00+0000,17.7,40.31305,-4.487227,890.0
3337U,2025-05-29T03:00:00+0000,17.5,40.467503,-4.455763,850.0
3338,2025-05-29T03:00:00+0000,18.0,40.42775,-4.249927,763.0
3343Y,2025-05-29T03:00:00+0000,19.2,40.496662,-4.061107,884.0
3362Y,2025-05-29T03:00:00+0000,20.1,40.108208,-4.680608,560.0
3365A,2025-05-29T03:00:00+0000,17.3,39.958607,-4.863596,372.0
3386A,2025-05-29T03:00:00+0000,21.4,39.591663,-5.391666,923.0
3391,2025-05-29T03:00:00+0000,18.0,40.288563,-4.590932,630.0
3422D,2025-05-29T03:00:00+0000,17.0,40.1392,-5.311326,350.0
3423I,2025-05-29T03:00:00+0000,19.2,40.15389,-5.373329,464.0
3427Y,2025-05-29T03:00:00+0000,15.4,39.99334,-5.114443,345.0
3434X,2025-05-29T03:00:00+0000,17.5,39.94576,-5.582629,269.0
3436D,2025-05-29T03:00:00+0000,22.5,40.11111,-5.784718,690.0
3448X,2025-05-29T03:00:00+0000,22.9,39.820717,-6.127483,406.0
3455X,2025-05-29T03:00:00+0000,22.8,39.66995,-5.808349,559.0
3469A,2025-05-29T03:00:00+0000,19.3,39.47139,-6.338889,393.98
3475X,2025-05-29T03:00:00+0000,25.3,39.790558,-6.376392,373.0
3494U,2025-05-29T03:00:00+0000,11.9,40.40809,-6.239733,470.0
3503,2025-05-29T03:00:00+0000,20.3,40.189445,-6.1675,393.0
3504X,2025-05-29T03:00:00+0000,21.8,40.265087,-5.861212,724.0
3512X,2025-05-29T03:00:00+0000,17.5,40.08083,-6.338888,351.0
3514B,2025-05-29T03:00:00+0000,20.3,40.258614,-5.678336,991.0
3516X,2025-05-29T03:00:00+0000,19.1,40.12078,-5.832386,1260.0
3519X,2025-05-29T03:00:00+0000,22.3,40.043053,-6.085781,415.0
3526X,2025-05-29T03:00:00+0000,21.5,40.00354,-6.557527,313.0
3531X,2025-05-29T03:00:00+0000,18.1,40.254925,-6.411707,459.0
3536X,2025-05-29T03:00:00+0000,23.3,40.17483,-6.724444,560.0
3540X,2025-05-29T03:00:00+0000,21.7,39.871387,-6.860004,336.0
3547X,2025-05-29T03:00:00+0000,20.2,40.207226,-6.896107,450.0
3562X,2025-05-29T03:00:00+0000,19.0,39.4275,-6.736389,321.0
3565X,2025-05-29T03:00:00+0000,21.0,39.61806,-6.744998,425.0
3576X,2025-05-29T03:00:00+0000,18.7,39.41486,-7.231135,444.0
4007Y,2025-05-29T03:00:00+0000,16.4,38.96583,-2.745006,905.0
4051Y,2025-05-29T03:00:00+0000,14.5,40.06111,-2.80695,875.0
4061X,2025-05-29T03:00:00+0000,,39.59716,-3.048206,691.52
4064Y,2025-05-29T03:00:00+0000,21.3,39.390827,-3.215832,640.0
4067,2025-05-29T03:00:00+0000,16.8,39.492065,-3.528358,690.0
4070Y,2025-05-29T03:00:00+0000,15.6,40.018784,-2.395207,1020.0
4075Y,2025-05-29T03:00:00+0000,17.7,39.84028,-2.503334,870.0
4089A,2025-05-29T03:00:00+0000,15.4,39.51697,-2.49575,857.5
4090Y,2025-05-29T03:00:00+0000,15.8,39.416737,-2.420691,728.0
4091Y,2025-05-29T03:00:00+0000,18.0,39.261894,-2.592567,718.0
4093Y,2025-05-29T03:00:00+0000,15.8,39.656116,-2.759997,763.0
4095Y,2025-05-29T03:00:00+0000,20.0,39.555283,-2.705556,745.0
4096Y,2025-05-29T03:00:00+0000,12.0,39.016663,-2.488886,918.0
4103X,2025-05-29T03:00:00+0000,16.2,39.169044,-3.00749,662.0
4116I,2025-05-29T03:00:00+0000,18.1,38.950832,-3.741944,626.5
4121,2025-05-29T03:00:00+0000,21.0,38.989166,-3.920278,626.17
4138Y,2025-05-29T03:00:00+0000,17.7,38.737495,-3.004441,900.0
4147X,2025-05-29T03:00:00+0000,19.2,38.750423,-3.391368,700.0
4148,2025-05-29T03:00:00+0000,18.8,38.518047,-3.566724,804.0
4193Y,2025-05-29T03:00:00+0000,16.7,39.217045,-4.282654,587.1
4195E,2025-05-29T03:00:00+0000,15.4,39.32091,-4.394988,651.0
4210Y,2025-05-29T03:00:00+0000,19.4,38.898056,-4.291943,718.0
4220X,2025-05-29T03:00:00+0000,16.5,39.083622,-4.622035,531.48
4236Y,2025-05-29T03:00:00+0000,23.6,39.45044,-5.026459,689.04
4244X,2025-05-29T03:00:00+0000,16.7,39.169353,-5.062271,447.0
4245X,2025-05-29T03:00:00+0000,17.7,39.455273,-5.333333,660.0
4260,2025-05-29T03:00:00+0000,14.3,38.479717,-5.577502,542.0
4263X,2025-05-29T03:00:00+0000,16.1,38.409447,-5.350555,575.0
4267X,2025-05-29T03:00:00+0000,16.2,38.498367,-5.121442,551.0
4300Y,2025-05-29T03:00:00+0000,20.8,38.775284,-4.845277,535.0
4325Y,2025-05-29T03:00:00+0000,23.2,38.741814,-5.529083,459.0
4339X,2025-05-29T03:00:00+0000,21.4,39.314167,-5.369009,590.0
