idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
0312X,2.364353,2025-05-28T05:00:00+0000,0.0,851.0,2.3,0.2,305.0,42.258446,20.0,SANT PAU DE SEGURIES,94.0,11.1,11.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,
0320I,2.102774,2025-05-28T05:00:00+0000,0.0,1151.0,3.1,1.5,308.0,42.31688,310.0,PLANOLES,85.0,8.2,8.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,
0324A,2.196187,2025-05-28T05:00:00+0000,0.0,675.0,,,,42.191387,,RIPOLL,89.0,11.6,11.6,12.4,,,,,9.8,,,,,,,20.0,,,,,,,,,,,,
0360X,2.551007,2025-05-28T05:00:00+0000,0.0,337.0,0.6,0.2,51.0,42.052837,70.0,LES PLANES D?HOSTOLES,98.0,11.9,11.9,12.1,,,,,,,,,,,,,,,,,,,,,,,,
0363X,2.513329,2025-05-28T05:00:00+0000,0.0,810.0,1.7,0.9,328.0,41.880833,337.0,SANT HILARI,97.0,10.9,11.2,11.3,,,,,,,,,,,,,,,,,,,,,,,,
0367,2.763329,2025-05-28T05:00:00+0000,0.0,143.0,2.1,0.1,180.0,41.911667,10.0,GIRONA  AEROPUERTO,99.0,13.3,14.6,14.7,1006.5,0.2,15.3,1021.9,14.4,,56.0,13.0,,,,,,,,,,,,,,,,
0370E,2.819442,2025-05-28T05:00:00+0000,0.0,76.0,1.0,0.1,333.0,41.972332,47.0,GIRONA-PARC MIGDIA,89.0,15.3,15.3,15.6,,,,,,,,,,,,,,,,,,,,,,,,
0372C,2.763611,2025-05-28T05:00:00+0000,0.0,157.0,1.5,0.9,323.0,42.104443,323.0,PORQUERES,93.0,14.0,14.6,14.6,,,,,13.5,,,,,,,22.0,,,,,,,,,,,,
0385X,3.201389,2025-05-28T05:00:00+0000,0.0,1.0,2.8,1.1,226.0,42.053886,245.0,L?ESTARTIT,85.0,16.2,16.2,17.1,,,,,,,,,,,,,,,,,,,,,,,,
0394X,2.471827,2025-05-28T05:00:00+0000,0.0,350.0,1.2,0.2,233.0,42.210556,295.0,VALL DE BIANYA,97.0,13.3,13.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,
0411X,3.093053,2025-05-28T05:00:00+0000,0.0,2.0,1.5,0.2,339.0,42.224834,257.0,CASTELLO D?EMPURIES,98.0,12.8,12.8,12.9,,,,,,,,,,,,,,,,,,,,,,,,
0413A,2.75558,2025-05-28T05:00:00+0000,0.0,355.0,1.9,1.2,275.0,42.386925,280.0,MAÇANET DE CABRENYS,93.0,11.7,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
0421X,3.006114,2025-05-28T05:00:00+0000,0.0,100.0,3.1,0.7,47.0,42.38988,27.0,ESPOLLA  LES ALBERES,75.0,12.8,13.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,
0429X,2.960328,2025-05-28T05:00:00+0000,0.0,45.0,2.1,1.0,327.0,42.259083,340.0,FIGUERES  ELS ASPRES,84.0,15.4,15.6,15.7,,,,,,,,,,,,,,,,,,,,,,,,
0433D,3.315556,2025-05-28T05:00:00+0000,0.0,75.0,,1.1,137.0,42.31904,,EVC_CABO DE CREUS,56.0,21.0,22.2,22.2,1009.0,,,,13.1,,,,,,,32.0,,,,,,,,,,,,
1002Y,-1.542961,2025-05-28T05:00:00+0000,0.0,183.0,0.9,0.0,0.0,43.135723,228.0,BAZTÁN  IRURITA,97.0,10.1,10.9,10.9,,0.1,,,10.4,,2.0,,,,,,,,,,,,,,,,,
1010X,-1.675786,2025-05-28T05:00:00+0000,0.0,54.0,0.5,0.0,144.0,43.27869,92.0,BERA,93.0,13.3,13.6,13.6,,,,,,,,,,,,,,,,,,,,,,,,
1012P,-1.796536,2025-05-28T05:00:00+0000,0.0,120.0,3.0,0.6,187.0,43.32641,200.0,IRUN,88.0,15.2,15.2,15.7,,,,,,,,,,,,,,,,,,,,,,,,
1021X,-1.878823,2025-05-28T05:00:00+0000,0.0,165.0,1.3,0.4,177.0,43.213833,207.0,ERRENTERIA  AÑARBE,97.0,12.0,12.1,12.1,,,,,,,,,,,,,,,,,,,,,,,,
1025A,-2.256663,2025-05-28T05:00:00+0000,0.0,255.0,0.8,0.0,309.0,43.015553,330.0,SEGURA,97.0,9.6,9.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,
1025X,-2.232037,2025-05-28T05:00:00+0000,0.0,255.0,0.9,0.2,324.0,43.054634,75.0,BEASAIN  ARRIARAN,97.0,11.1,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,
1026X,-2.184273,2025-05-28T05:00:00+0000,0.0,290.0,1.1,0.4,255.0,43.05816,245.0,ORDIZIA,100.0,11.4,11.4,11.5,,,,,,,,,,,,,,,,,,,,,,,,
1033X,-1.950836,2025-05-28T05:00:00+0000,0.0,520.0,0.0,0.0,107.0,43.085,107.0,ARESO ,100.0,10.8,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
1037X,-2.337095,2025-05-28T05:00:00+0000,0.0,460.0,,,,43.051796,,LEGAZPI,97.0,8.8,8.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,
1037Y,-2.3175,2025-05-28T05:00:00+0000,0.0,420.0,2.5,0.2,292.0,43.079918,244.0,ZUMARRAGA,97.0,9.5,9.5,10.0,974.1,,,1024.3,9.0,,,,,,,34.0,,,,,,,,,,,,
1038X,-2.267175,2025-05-28T05:00:00+0000,0.0,180.0,1.4,0.5,107.0,43.172577,92.0,AZPEITIA,100.0,11.4,11.4,11.5,,,,,,,,,,,,,,,,,,,,,,,,
1041A,-2.251035,2025-05-28T05:00:00+0000,0.0,28.0,4.4,3.6,191.0,43.30214,185.0,ZUMAIA,98.0,12.3,12.4,12.6,1022.6,,,1026.0,12.1,,,,,,,120.0,,,,,,,,,,,,
1044X,-2.589645,2025-05-28T05:00:00+0000,0.0,617.0,,,,43.057835,,ARAMAIO  ETXAGUEN,90.0,9.8,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1048X,-2.465715,2025-05-28T05:00:00+0000,0.0,308.0,,,,43.02505,,ARETXABALETA,93.0,8.6,8.6,9.1,,,,,,,,,,,,,,,,,,,,,,,,
1049N,-2.495827,2025-05-28T05:00:00+0000,0.0,470.0,1.7,0.8,154.0,43.138332,170.0,ELGETA,98.0,10.0,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
1050J,-2.413218,2025-05-28T05:00:00+0000,0.0,119.0,1.5,0.5,131.0,43.209293,64.0,ELGOIBAR,99.0,11.5,11.9,11.9,1012.0,,,1026.4,11.8,,,,,,,12.0,,,,,,,,,,,,
1052A,-2.397148,2025-05-28T05:00:00+0000,0.0,150.0,2.0,1.3,220.0,43.31722,215.0,MUTRIKU,86.0,14.1,14.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,
1056K,-2.671184,2025-05-28T05:00:00+0000,0.0,45.0,1.9,0.8,161.0,43.34239,177.0,FORUA,99.0,10.0,10.1,10.2,,,,,,,,,,,,,,,,,,,,,,,,
1057B,-2.752762,2025-05-28T05:00:00+0000,0.0,93.0,1.5,0.0,284.0,43.453907,210.0,MATXITXAKO,94.0,13.4,13.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,
1059X,-3.021602,2025-05-28T05:00:00+0000,0.0,81.0,3.3,1.6,156.0,43.375088,140.0,PUNTA GALEA ,93.0,12.6,12.7,13.1,1015.4,0.4,,1024.4,11.6,,15.0,,,,,,,,,,,,,,,,,
1060X,-3.005452,2025-05-28T05:00:00+0000,0.0,240.0,2.1,0.0,257.0,43.05024,242.0,AMURRIO,94.0,9.9,9.9,10.1,,,,,,,,,,,,,,,,,,,,,,,,
1064L,-2.860274,2025-05-28T05:00:00+0000,0.0,270.0,1.0,0.1,123.0,43.096333,130.0,OROZKO  IBARRA,99.0,9.0,9.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,
1069Y,-2.644187,2025-05-28T05:00:00+0000,0.0,747.0,,,,43.09923,,ABADIÑO  URKIOLA,89.0,9.0,9.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,
1074C,-2.706153,2025-05-28T05:00:00+0000,0.0,100.0,1.5,0.6,167.0,43.202892,187.0,AMOREBIETA-ETXANO,98.0,9.7,9.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1078C,-3.209649,2025-05-28T05:00:00+0000,0.0,210.0,,,,43.180576,,BALMASEDA,96.0,9.3,9.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,
1078I,-3.104777,2025-05-28T05:00:00+0000,0.0,208.0,1.2,0.1,215.0,43.203384,63.0,GÜEÑES,99.0,10.1,10.4,10.8,1001.0,,,1026.2,10.3,,,,,,,4.0,,,,,,,,,,,,
1082,-2.906304,2025-05-28T05:00:00+0000,0.0,42.0,3.1,1.7,70.0,43.29795,80.0,BILBAO AEROPUERTO,94.0,11.2,11.4,11.5,1021.3,0.3,14.3,1026.1,10.4,,11.0,0.0,,,,,,,,,,,,,,,,
1083B,-3.168615,2025-05-28T05:00:00+0000,0.0,177.0,0.9,0.1,133.0,43.27972,322.0,SOPUERTA,100.0,9.7,10.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,
1083L,-3.233884,2025-05-28T05:00:00+0000,0.0,45.0,2.3,0.6,252.0,43.39473,268.0,CASTRO URDIALES-EDAR,91.0,13.6,14.1,14.1,,,,,12.6,,,,,,,41.0,,,,,,,,,,,,
1089U,-3.47083,2025-05-28T05:00:00+0000,0.0,80.0,1.4,0.5,135.0,43.255833,142.0,RAMALES DE LA VICTORIA-ETAP,98.0,9.5,10.1,10.1,,,,,,,,,,,,,,,,,,,,,,,,
1096X,-3.469721,2025-05-28T05:00:00+0000,0.0,10.0,2.7,1.7,182.0,43.39667,172.0,TRETO,100.0,10.9,10.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,
1103X,-3.721084,2025-05-28T05:00:00+0000,0.0,849.0,3.4,0.9,334.0,43.227554,225.0,SAN ROQUE DE RIOMERA-CARACOL,85.0,11.9,12.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,
1109X,-3.831385,2025-05-28T05:00:00+0000,0.0,3.0,3.1,0.0,0.0,43.42861,160.0,SANTANDER AEROPUERTO,96.0,11.2,11.7,11.8,1025.6,0.1,16.1,1026.4,11.1,,69.0,0.0,,,,,,,,,,,,,,,,
1111X,-3.800431,2025-05-28T05:00:00+0000,0.0,50.96,1.8,0.9,154.0,43.491055,150.0,SANTANDER CMT,91.0,13.8,13.8,14.3,1018.7,0.2,11.2,1025.6,12.3,16.5,19.0,0.0,18.1,,,,1.7,156.0,0.0,0.9,0.3,17.0,153.0,18.5,,,,
1124E,-3.849351,2025-05-28T05:00:00+0000,0.0,195.7,1.8,0.9,211.0,43.2456,340.0,VILLACARRIEDO - SANTIBAÑEZ,99.0,9.7,9.7,10.1,,,,,,,,,,,,,,,,,,,,,,,,
1135C,-4.214141,2025-05-28T05:00:00+0000,0.0,460.0,1.3,0.3,105.0,43.146942,165.0,BÁRCENA MAYOR-TORIZ,100.0,8.7,8.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,
1152C,-4.048612,2025-05-28T05:00:00+0000,0.0,105.0,1.1,0.2,212.0,43.271942,122.0,SAN FELICES DE BUELNA-TARRIBA,99.0,10.4,10.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1154H,-4.027419,2025-05-28T05:00:00+0000,0.0,110.0,3.9,2.3,186.0,43.358517,157.0,TORRELAVEGA-SIERRAPANDO,95.0,12.0,12.0,12.3,,,,,,,,,,,,,,,,,,,,,,,,
1159,-4.392103,2025-05-28T05:00:00+0000,0.0,38.0,3.7,2.6,214.0,43.393456,213.0,SAN VICENTE  FARO,94.0,13.2,13.4,14.3,1020.6,,,1025.4,12.4,,,,,,,93.0,,,,,,,,,,,,
1167B,-4.812779,2025-05-28T05:00:00+0000,0.0,1100.0,0.6,0.3,234.0,43.143894,300.0,FUENTE DÉ-TELEFÉRICO,82.0,9.0,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,
1167H,-4.834772,2025-05-28T05:00:00+0000,,2330.62,9.8,4.4,303.0,43.176186,290.0,CABAÑA VERÓNICA  PARQUE NACIONAL PICOS DE EUROPA,76.0,8.5,8.6,8.7,777.7,1.5,,1023.1,4.6,,17.0,,,,,,,,,,,,,,,,,
1167J,-4.773842,2025-05-28T05:00:00+0000,,1721.85,8.9,5.3,262.0,43.089184,272.0,CORISCAO  PARQUE NACIONAL PICOS DE EUROPA,60.0,12.4,14.0,14.0,836.1,1.2,,1021.5,6.4,,13.0,,,,,,,,,,,,,,,,,
1174I,-4.601783,2025-05-28T05:00:00+0000,0.0,250.0,0.5,0.0,43.0,43.18286,230.0,TAMA,98.0,8.5,8.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,
1176A,-4.668234,2025-05-28T05:00:00+0000,0.0,940.0,1.1,0.6,32.0,43.255714,190.0,TRESVISO,69.0,12.1,12.1,13.3,,,,,,,,,,,,,,,,,,,,,,,,
1178E,-4.902024,2025-05-28T05:00:00+0000,,678.0,3.7,0.9,159.0,43.17602,179.0,CORDIÑANES  PARQUE NACIONAL PICOS DE EUROPA,79.0,9.4,9.8,10.7,946.7,0.6,,1026.5,6.4,,39.0,,,,,,,,,,,,,,,,,
1178I,-4.820994,2025-05-28T05:00:00+0000,,1970.0,8.0,2.9,142.0,43.202496,121.0,VEGA DE URRIELLU  PARQUE NACIONAL PICOS DE EUROPA,52.0,12.2,12.3,12.6,812.1,1.0,,1022.1,2.7,,24.0,,,,,,,,,,,,,,,,,
1178M,-4.921692,2025-05-28T05:00:00+0000,,1650.69,3.1,0.8,156.0,43.243923,186.0,VEGA DE ARIO  PARQUE NACIONAL PICOS DE EUROPA,63.0,13.1,13.3,13.6,843.5,0.4,,1022.7,6.4,,13.0,,,,,,,,,,,,,,,,,
1178R,-4.736775,2025-05-28T05:00:00+0000,0.0,1235.71,2.3,1.0,249.0,43.23739,255.0,SOTRES  PARQUE NACIONAL PICOS DE EUROPA,46.0,11.7,13.6,14.0,885.7,0.1,,1023.9,2.3,,6.0,,,,,,,,,,,,,,,,,
1178Y,-4.931762,2025-05-28T05:00:00+0000,0.0,953.0,,,,43.145374,,SOTO DE VALDEÓN (AUTOMATICA),93.0,6.7,6.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,
1179B,-4.852774,2025-05-28T05:00:00+0000,0.0,458.0,1.5,1.1,260.0,43.31111,240.0,CARREÑA DE CABRALES,100.0,10.7,10.7,11.1,,,,,,,,,,,,,,,,,,,,,,,,
1183X,-4.748056,2025-05-28T05:00:00+0000,0.0,10.0,3.9,2.8,214.0,43.420277,211.0,LLANES,90.0,12.7,13.1,13.7,1024.1,0.4,13.8,1025.3,11.4,16.3,5.0,0.0,18.1,,,,,,0.0,,,,,,,,,
1186P,-5.119247,2025-05-28T05:00:00+0000,0.0,370.0,1.1,0.5,269.0,43.266632,267.0,AMIEVA  PANIZALES,99.0,10.0,10.0,10.4,,,,,,,,,,,,,,,,,,,,,,,,
1191D,-5.00172,2025-05-28T05:00:00+0000,,1505.0,1.4,0.7,165.0,43.177372,169.0,PICO COTORRA  PARQUE NACIONAL PICOS DE EUROPA,53.0,13.8,14.5,14.8,858.6,0.5,,,,,4.0,,,,,,,,,,,,,,,,,
1199X,-5.396674,2025-05-28T05:00:00+0000,0.0,280.0,1.3,0.1,350.0,43.377834,42.0,BARGAÉU PILOÑA,99.0,11.4,11.4,11.9,,,,,,,,,,,,,,,,,,,,,,,,
1203D,-5.247153,2025-05-28T05:00:00+0000,0.0,30.0,3.5,2.6,249.0,43.49235,247.0,COLUNGA,100.0,11.9,12.4,12.6,,,,,,,,,,,,,,,,,,,,,,,,
1207U,-5.621111,2025-05-28T05:00:00+0000,0.0,25.8,1.9,1.4,114.0,43.523056,115.0,GIJÓN-CAMPUS,97.0,10.4,10.4,10.7,1022.1,0.2,11.5,1025.7,9.9,4.2,5.0,0.0,17.9,,,,,,0.0,,,,,17.8,,,,
1208H,-5.700833,2025-05-28T05:00:00+0000,0.0,5.0,1.6,0.7,190.0,43.559723,180.0,GIJÓN  MUSEL,96.0,14.0,14.0,14.8,1024.9,,,,,,,,,,,14.0,,,,,,,,,,,,
1210X,-5.848572,2025-05-28T05:00:00+0000,0.0,100.0,0.6,0.0,314.0,43.655926,341.0,CABO PEÑAS,93.0,14.6,14.8,14.9,,,,,13.7,,,,,,,2.0,,,,,,,,,,,,
1212E,-6.044173,2025-05-28T05:00:00+0000,0.0,127.0,3.6,0.5,230.0,43.56694,200.0,ASTURIAS/AVILÉS,95.0,11.1,11.3,11.8,1010.1,0.7,14.7,1026.5,10.5,,69.0,0.0,,,,,,,,,,,,,,,,
1221D,-5.776392,2025-05-28T05:00:00+0000,0.0,1480.0,4.9,3.5,176.0,42.978607,181.0,PAJARES - VALGRANDE,72.0,11.3,11.4,12.1,,,,,6.5,,,,,,,127.0,,,,,,,,,,,,
1223P,-5.822748,2025-05-28T05:00:00+0000,0.0,370.0,1.6,0.4,199.0,43.132706,335.0,RONZÓN,96.0,14.1,14.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,
1226X,-5.476919,2025-05-28T05:00:00+0000,0.0,750.0,2.4,1.0,139.0,43.095177,147.0,CUEVAS DE FELECHOSA,97.0,8.8,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
1234P,-5.819274,2025-05-28T05:00:00+0000,0.0,170.0,1.5,0.2,339.0,43.274883,212.0,MIERES-BAÍÑA,94.0,14.5,14.7,14.7,,,,,,,,,,,,,,,,,,,,,,,,
1249X,-5.873889,2025-05-28T05:00:00+0000,0.0,334.44,1.7,1.0,273.0,43.353333,300.0,OVIEDO,97.0,12.5,12.7,13.6,985.7,0.2,14.3,1026.0,12.2,6.2,21.0,0.0,16.3,,,,,,0.0,,,,,16.9,,,,
1272B,-6.386539,2025-05-28T05:00:00+0000,0.0,280.0,0.7,0.3,122.0,43.290276,140.0,SOUTU  LA BARCA,95.0,13.9,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
1276F,-6.256944,2025-05-28T05:00:00+0000,0.0,670.0,1.0,0.5,184.0,43.1,145.0,POLA DE SOMIEDO-DEPURADORA,100.0,8.1,8.1,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1279X,-6.230729,2025-05-28T05:00:00+0000,0.0,240.0,1.0,0.5,198.0,43.425,177.0,CAMUÑO,99.0,13.4,13.4,13.6,,,,,,,,,,,,,,,,,,,,,,,,
1283U,-6.469998,2025-05-28T05:00:00+0000,0.0,60.0,3.8,2.7,232.0,43.569164,296.0,CABO BUSTO,87.0,14.3,14.7,14.7,1017.7,0.3,16.7,1024.9,12.5,11.9,5.0,0.0,18.7,,,,,,,,,,,,,,,
1297E,-7.017618,2025-05-28T05:00:00+0000,0.0,1020.0,2.1,0.6,47.0,42.768578,47.0,CERVANTES-BAZAL,67.0,12.3,12.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,
1302F,-6.472407,2025-05-28T05:00:00+0000,0.0,1310.0,2.4,1.2,304.0,42.95527,305.0,DEGAÑA  COTO CORTÉS,75.0,8.3,8.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,
1309C,-6.884876,2025-05-28T05:00:00+0000,0.0,780.0,3.4,1.4,247.0,43.027412,100.0,SAN ANTOLIN DE IBIAS-LINARES,98.0,8.3,8.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
1327A,-6.673332,2025-05-28T05:00:00+0000,0.0,410.0,2.7,1.4,184.0,43.465553,170.0,ONETA,100.0,11.2,11.2,11.5,,,,,,,,,,,,,,,,,,,,,,,,
1331A,-7.031388,2025-05-28T05:00:00+0000,0.0,40.0,2.8,1.4,199.0,43.524723,174.0,CASTROPOL,91.0,13.1,13.5,13.6,,,,,12.1,,,,,,,44.0,,,,,,,,,,,,
1341B,-7.06098,2025-05-28T05:00:00+0000,0.0,340.0,2.8,0.9,119.0,43.415546,12.0,OURIA DE TARAMUNDI,95.0,11.9,11.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1342X,-7.082971,2025-05-28T05:00:00+0000,0.0,43.0,2.8,2.5,164.0,43.540653,155.0,RIBADEO  VILAFRAMIL,95.0,14.2,14.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,
1344X,-7.361736,2025-05-28T05:00:00+0000,0.0,125.0,,,,43.43133,,MONDOÑEDO,96.0,13.5,13.5,13.6,,,,,,,,,,,,,,,,,,,,,,,,
1347T,-7.357091,2025-05-28T05:00:00+0000,0.0,80.0,,,,43.651047,,BURELA,87.0,14.1,14.1,14.7,,,,,,,,,,,,,,,,,,,,,,,,
1351,-7.684866,2025-05-28T05:00:00+0000,0.0,90.39,6.2,3.3,154.0,43.78621,148.0,ESTACA DE BARES,93.0,13.3,13.4,14.2,1014.3,0.2,,1025.2,12.3,20.0,2.0,0.0,16.4,,,,,,0.0,,,,,,,,,
1354C,-8.262222,2025-05-28T05:00:00+0000,0.0,4.0,2.4,1.4,22.0,43.47639,14.0,FERROL-A GRAÑA,95.0,12.0,12.6,12.6,1024.4,,,1024.9,11.8,,,,,,,47.0,,,,,,,,,,,,
1363X,-7.861476,2025-05-28T05:00:00+0000,0.0,343.0,,,,43.44597,,AS PONTES A AEROSA,94.0,8.9,8.9,10.3,,,,,,,,,,,,,,,,,,,,,,,,
1387,-8.421517,2025-05-28T05:00:00+0000,0.0,57.07,2.4,0.8,133.0,43.36597,163.0,A CORUÑA,90.0,13.4,13.5,13.7,1017.7,0.3,12.3,1025.6,11.9,17.9,22.0,0.0,18.8,,,,,,0.0,,,,,19.7,,,,
